"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Oct 31 05:11:21 UTC 2023","Tue Oct 31 05:12:59 UTC 2023","97524","","22. Individual Onboarding for Interactive Brokers","","","","14. Complete Final Review",""
"passed","Tue Oct 31 05:00:53 UTC 2023","Tue Oct 31 05:01:11 UTC 2023","17390","","20. Admin Portal - Check details","","","","1. Log in using manager login",""
"passed","Tue Oct 31 04:38:58 UTC 2023","Tue Oct 31 04:39:55 UTC 2023","56917","","13. Client Portal - Change Portfolio","","","","6. Submit Change",""
"passed","Tue Oct 31 02:53:04 UTC 2023","Tue Oct 31 02:53:33 UTC 2023","28481","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","4. Complete Risk Profile",""
"passed","Tue Oct 31 02:36:29 UTC 2023","Tue Oct 31 02:36:51 UTC 2023","21803","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","12. Complete Applicants",""
"skipped","Tue Oct 31 02:30:40 UTC 2023","Tue Oct 31 02:30:40 UTC 2023","3","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","4. Check Help Modal in Investment Choice",""
"passed","Tue Oct 31 02:52:59 UTC 2023","Tue Oct 31 02:53:04 UTC 2023","5141","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Tue Oct 31 03:43:37 UTC 2023","Tue Oct 31 03:43:55 UTC 2023","18752","","6. Company Account","","","","4. Complete Build Your Portfolio",""
"passed","Tue Oct 31 05:06:53 UTC 2023","Tue Oct 31 05:07:03 UTC 2023","9923","","22. Individual Onboarding for Interactive Brokers","","","","2. Create new Individual account",""
"passed","Tue Oct 31 03:39:44 UTC 2023","Tue Oct 31 03:39:50 UTC 2023","5254","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","5. Complete Screen and tilts",""
"passed","Tue Oct 31 04:46:55 UTC 2023","Tue Oct 31 04:47:09 UTC 2023","13623","","16. Nucleus Wealth Wordpress Site","","","","1. Visit Production Site",""
"passed","Tue Oct 31 05:01:18 UTC 2023","Tue Oct 31 05:01:26 UTC 2023","8362","","20. Admin Portal - Check details","","","","4. Direct to Account’s client portal",""
"passed","Tue Oct 31 04:07:24 UTC 2023","Tue Oct 31 04:07:50 UTC 2023","26478","","10. Client Portal - Account Dashboard","","","","4. Check Tactical Panel",""
"passed","Tue Oct 31 02:30:28 UTC 2023","Tue Oct 31 02:30:40 UTC 2023","12643","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","3. Create new Individual investment account",""
"failed","Tue Oct 31 03:49:08 UTC 2023","Tue Oct 31 03:49:27 UTC 2023","18501","","8. Sign Up new user","","","","1. Create a new user",""
"passed","Tue Oct 31 03:44:35 UTC 2023","Tue Oct 31 03:44:36 UTC 2023","538","","6. Company Account","","","","9. Review Final Review",""
"passed","Tue Oct 31 05:10:15 UTC 2023","Tue Oct 31 05:10:20 UTC 2023","4539","","22. Individual Onboarding for Interactive Brokers","","","","10. Complete Bank Details",""
"passed","Tue Oct 31 03:38:37 UTC 2023","Tue Oct 31 03:38:56 UTC 2023","19011","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Tue Oct 31 05:07:51 UTC 2023","Tue Oct 31 05:07:55 UTC 2023","4423","","22. Individual Onboarding for Interactive Brokers","","","","7.Complete Screen and Tilts",""
"passed","Tue Oct 31 05:08:29 UTC 2023","Tue Oct 31 05:08:32 UTC 2023","2866","","22. Individual Onboarding for Interactive Brokers","","","","8. Check Review Page",""
"passed","Tue Oct 31 03:44:16 UTC 2023","Tue Oct 31 03:44:18 UTC 2023","1938","","6. Company Account","","","","6. Review Review Page",""
"passed","Tue Oct 31 04:47:20 UTC 2023","Tue Oct 31 04:47:23 UTC 2023","3101","","16. Nucleus Wealth Wordpress Site","","","","5. Visit Direct Indexing",""
"passed","Tue Oct 31 04:58:10 UTC 2023","Tue Oct 31 04:58:30 UTC 2023","19708","","19. Look Up Investment Account","","","","1. Log in using manager login",""
"passed","Tue Oct 31 04:50:24 UTC 2023","Tue Oct 31 04:54:49 UTC 2023","264646","","18. Check Admin header","","","","2. Check Navbar",""
"passed","Tue Oct 31 02:32:41 UTC 2023","Tue Oct 31 02:33:29 UTC 2023","47718","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","10. Complete Risk Profile and navigate to Review",""
"passed","Tue Oct 31 05:10:28 UTC 2023","Tue Oct 31 05:10:31 UTC 2023","2296","","22. Individual Onboarding for Interactive Brokers","","","","12. Check Final Review",""
"passed","Tue Oct 31 03:40:38 UTC 2023","Tue Oct 31 03:40:41 UTC 2023","2278","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","8. Navigate from Applicants to Final Review",""
"passed","Tue Oct 31 02:31:43 UTC 2023","Tue Oct 31 02:31:54 UTC 2023","11192","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","7. Complete Screen and Tilts",""
"passed","Tue Oct 31 04:43:46 UTC 2023","Tue Oct 31 04:44:30 UTC 2023","44627","","15. Test 2 Factor Login is working","","","","Get SMS and apply it in 2FA form",""
"passed","Tue Oct 31 03:38:56 UTC 2023","Tue Oct 31 03:39:23 UTC 2023","26686","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","2. Create a Trust Account",""
"passed","Tue Oct 31 05:01:11 UTC 2023","Tue Oct 31 05:01:17 UTC 2023","6370","","20. Admin Portal - Check details","","","","2. Account ID 445 detail page",""
"passed","Tue Oct 31 04:07:12 UTC 2023","Tue Oct 31 04:07:23 UTC 2023","11171","","10. Client Portal - Account Dashboard","","","","3. Direct user to Account Dashboard",""
"passed","Tue Oct 31 03:43:55 UTC 2023","Tue Oct 31 03:44:01 UTC 2023","5482","","6. Company Account","","","","5. Complete Screen and tilts",""
"passed","Tue Oct 31 04:48:00 UTC 2023","Tue Oct 31 04:48:02 UTC 2023","2013","","16. Nucleus Wealth Wordpress Site","","","","10. Check wordpress image uploaded date",""
"passed","Tue Oct 31 05:07:08 UTC 2023","Tue Oct 31 05:07:45 UTC 2023","36949","","22. Individual Onboarding for Interactive Brokers","","","","5. Complete Risk Profile",""
"passed","Tue Oct 31 04:07:50 UTC 2023","Tue Oct 31 04:07:53 UTC 2023","2808","","10. Client Portal - Account Dashboard","","","","5. Expand Strategic",""
"passed","Tue Oct 31 04:47:26 UTC 2023","Tue Oct 31 04:47:30 UTC 2023","3989","","16. Nucleus Wealth Wordpress Site","","","","7. Visit Contact",""
"passed","Tue Oct 31 05:01:17 UTC 2023","Tue Oct 31 05:01:18 UTC 2023","423","","20. Admin Portal - Check details","","","","3. Check panels existence",""
"passed","Tue Oct 31 05:01:31 UTC 2023","Tue Oct 31 05:01:32 UTC 2023","1097","","20. Admin Portal - Check details","","","","7. Check Current Settings",""
"passed","Tue Oct 31 03:44:18 UTC 2023","Tue Oct 31 03:44:33 UTC 2023","14885","","6. Company Account","","","","7. Complete In Company Details",""
"passed","Tue Oct 31 04:47:30 UTC 2023","Tue Oct 31 04:47:48 UTC 2023","18450","","16. Nucleus Wealth Wordpress Site","","","","8. Visit Member Login",""
"passed","Tue Oct 31 04:47:23 UTC 2023","Tue Oct 31 04:47:26 UTC 2023","2679","","16. Nucleus Wealth Wordpress Site","","","","6. Visit Resources",""
"passed","Tue Oct 31 03:40:12 UTC 2023","Tue Oct 31 03:40:38 UTC 2023","26770","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","7. Complete In Trust Details",""
"passed","Tue Oct 31 05:08:32 UTC 2023","Tue Oct 31 05:10:15 UTC 2023","103250","","22. Individual Onboarding for Interactive Brokers","","","","9. Complete Applicants",""
"passed","Tue Oct 31 03:40:09 UTC 2023","Tue Oct 31 03:40:12 UTC 2023","2944","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","6. Review Review Page",""
"passed","Tue Oct 31 05:10:20 UTC 2023","Tue Oct 31 05:10:28 UTC 2023","8495","","22. Individual Onboarding for Interactive Brokers","","","","11. Complete Compliance",""
"passed","Tue Oct 31 05:45:05 UTC 2023","Tue Oct 31 05:45:23 UTC 2023","18069","","23. Change Portfolio for Interactive Brokers","","","","1. Log into user with IB access and direct user to “Your Account(s)” page",""
"passed","Tue Oct 31 03:02:43 UTC 2023","Tue Oct 31 03:02:46 UTC 2023","3106","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","6. Review Review Page",""
"passed","Tue Oct 31 02:59:43 UTC 2023","Tue Oct 31 02:59:48 UTC 2023","5289","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Tue Oct 31 02:36:51 UTC 2023","Tue Oct 31 02:36:59 UTC 2023","7594","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","13. Complete Bank Details",""
"passed","Tue Oct 31 04:14:03 UTC 2023","Tue Oct 31 04:14:06 UTC 2023","3282","","12. Client Portal - Forms","","","","4. Expand Personal Investment Forms",""
"passed","Tue Oct 31 04:47:09 UTC 2023","Tue Oct 31 04:47:13 UTC 2023","4216","","16. Nucleus Wealth Wordpress Site","","","","2. Visit Investment Options",""
